一;one;ichi, itsu;hito-tsu
卒;graduate;sotsu
協;cooperation;kyō
単;simple;tan
博;wide knowledge; Dr.;haku
印;mark;in;shirushi
参;participate;san;mai-ru
史;history;shi
司;director;shi
各;each;kaku;ono-ono
告;tell;koku;tsu-geru
周;circumference;shū;mawa-ri
唱;chant;shō;tona-eru
喜;rejoice;ki;yoroko-bu
器;container;ki;utsuwa
囲;surround;i;kako-u
固;harden;ko;kata-maru
型;model;kei;kata
堂;public chamber;dō
塩;salt;en;shio
士;gentleman;shi
変;change, strange;hen;ka-waru
夫;husband;fu fuu bu;otto
失;lose;shitsu;ushina-u
好;like;kō;su-ku or kono-mu
季;seasons;ki
孫;grandchild;son;mago
完;perfect;kan
官;government official;kan
害;harm;gai
察;guess;satsu
巣;nest;sō;su
差;distinction;sa
希;hope;ki;mare
席;seat;seki
帯;sash;tai;obi
底;bottom;tei;soko
府;urban prefecture;fu
康;ease;kō
建;build;ken;ta-teru
径;diameter;kei
徒;junior;to
得;acquire;toku;e-ru
必;inevitable;hitsu;kanara-zu
念;thought;nen
愛;love　;ai
成;become;sei;na-ru
戦;war;sen;ikusa or tataka-u
折;fold;setsu;o-ru
挙;raise;kyo;a-geru
改;reformation;kai;arata-meru
救;salvation;kyū;suku-u
敗;failure;hai;yabu-reru
散;scatter;san;chi-ru
料;fee;ryō
旗;flag;ki;hata
昨;yesterday;saku
景;scenery;kei
最;superlative;sai;mo or motto-mo
望;hope;bō;nozo-mu
未;un-;mi;ima-da
末;end;matsu;sue
札;tag;satsu;fuda
材;lumber, material;zai
束;bundle;soku;taba or tsuka
松;pine;shō;matsu
果;accomplish, fruit;ka;ha-tasu
栄;prosperity;ei;saka-eru
案;plan;an
梅;apricot;bai;ume
械;contraption;kai
極;poles;kyoku;kiwa-meru
標;signpost;hyō
機;machine;ki;hata
欠;lack;ketsu;ka-keru
歴;curriculum;reki
残;remainder;zan;noko-ru
殺;kill;satsu;koro-su
毒;poison;doku
氏;surname;shi;uji
民;people;min;tami
求;request;kyū;moto-mu
治;govern;chi or ji;osa-meru or nao-ru
法;method;hō
泣;cry;kyū;na-ku
浅;shallow;sen;asa-i
浴;bathe; bask;yoku;abi-ru
清;pure;sei or shō;kiyo-raka
満;full;man;mi-chiru
漁;fishing;ryō or gyo;asa-ru
灯;lamp;tō;hi
無;nothing;mu or bu;na-i
然;so;zen or nen;shika-shi
焼;bake;shō;ya-ku
照;illuminate;shō;te-rasu
熱;heat;netsu;atsu-i
牧;pasture; breed;boku;maki
特;special;toku
産;give birth;san;u-mu
的;target;teki;mato
省;government ministry; omit; look back;sho or sei;habu-ku
祝;celebrate;shuku;iwa-u
票;ballot;hyō
種;species; seed;shu;tane
積;accumulate; pile;seki;tsu-mu
競;emulate;kyō;kiso-u
笑;laugh;shō;wara-u
管;pipe;kan;kuda
節;node;setsu;fushi
粉;flour;fun;ko or kona
紀;chronicle;ki
約;promise;yaku
結;tie;ketsu;musu-bu or yu-u
給;salary;kyū;tama-u
続;continue;zoku;tsuzu-ku
置;put;chi;o-ku
老;old man;rō;o-iru
胃;stomach;i
脈;vein;myaku
腸;intestines;chō;harawata
臣;retainer;shin
航;cruise;kō
良;good;ryō;yo-i
芸;art;gei
芽;bud;ga;me
英;England;ei
菜;vegetable;sai;na
街;street, city;gai;machi
衣;garment;i;koromo
要;need;yō;i-ru
覚;memorize;kaku;obo-eru or sa-meru
観;observe;kan;mi-ru
訓;instruction;kun
試;test;shi;kokoromi-ru or tame-su
説;theory;setsu;to-ku
課;section;ka
議;deliberation;gi
象;elephant; figure;zō or shō;
貨;freight;ka
貯;savings;cho;ta-meru
費;expense;hi;tsui-yasu
賞;prize;shō
軍;army;gun
輪;wheel;rin;wa
辞;resign; speech; encyclopedia;ji;ya-meru
辺;environs;hen;ata-ri
連;take along;ren;tsu-reru or tsura-neru
達;attain;	tachi
選;choose;sen;era-bu
郡;county;gun
量;quantity;ryō
録;transcript;roku
鏡;mirror;kyō;kagami
関;related;kan;seki
陸;land;riku
隊;squad;tai
静;quiet;sei;shizu-ka
順;obey;jun
願;request;gan;nega-u
類;sort;rui
飛;fly;hi;to-bu
飯;meal;han;meshi
養;foster;yō;yashina-u
験;verify;ken
久;long time;kyū;hisa
仏;Buddha;hutsu or butsu;hotoke
仮;sham;ka or ke;kari
件;affair;ken
任;responsibility;nin;maka-seru
似;becoming;ji;ni-ru
余;surplus;yo;ama-ru
価;value;ka;atai
保;preserve;ho;tamo-tsu
